Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
B Mitchell (SA),1931-1949,15,26,4,1431,189*,65.04,5,5,0,1
JB Hobbs (Eng),1908-1930,54,87,5,4768,211,58.14,13,26,3,1
RB Simpson (Aus),1961-1968,17,28,1,1567,225,58.03,4,9,0,1
L Hutton (Eng),1938-1955,69,120,12,6236,364,57.74,16,30,4,1
V Sehwag (India),2002-2012,15,21,0,1159,254,55.19,3,5,3,1
H Sutcliffe (Eng),1924-1935,15,20,2,979,194,54.38,5,2,1,1
BC Broad (Eng),1986-1988,13,21,2,1023,162,53.84,5,3,1,1
ST Jayasuriya (SL),1996-2005,26,41,3,2002,340,52.68,6,8,5,1
EAB Rowan (SA),1948-1951,12,23,2,1106,236,52.66,3,6,2,1
MA Taylor (Aus),1989-1999,85,90,10,4160,334*,52,15,17,3,1
JL Langer (Aus),1993-2007,59,105,8,4879,250,50.29,15,17,5,1
WM Lawry (Aus),1961-1971,42,74,9,3255,210,50.07,9,18,4,1
WM Woodfull (Aus),1926-1934,22,35,3,1597,161,49.9,6,8,4,1
Sadiq Mohammad (Pak),1969-1976,15,26,1,1232,166,49.28,4,4,0,1
Saeed Anwar (Pak),1990-2001,42,67,1,3243,188*,49.13,10,19,7,1
DC Boon (Aus),1985-1993,21,27,3,1162,184*,48.41,4,5,3,1
DL Amiss (Eng),1974-1977,19,31,4,1305,188,48.33,4,4,5,1
SM Gavaskar (India),1971-1987,110,186,9,8511,221,48.08,29,35,11,1
GC Smith (ICC/SA),2002-2014,96,128,7,5806,277,47.98,19,23,8,1
CC Hunte (WI),1958-1967,40,71,6,3100,260,47.69,8,12,3,1
M Vijay (India),2009-2015,26,44,1,2037,167,47.37,5,11,3,1
MJ Slater (Aus),1993-2001,62,66,0,3100,219,46.96,8,14,5,1
HL Collins (Aus),1920-1926,16,24,1,1072,203,46.6,4,3,0,1
IR Redpath (Aus),1968-1976,16,28,1,1253,135,46.4,5,5,1,1
AF Rae (WI),1948-1953,15,24,2,1016,109,46.18,4,4,1,1
TL Goddard (SA),1963-1967,17,32,3,1334,112,46,1,11,0,1
CH Gayle (WI),2001-2014,75,125,5,5479,333,45.65,12,27,8,1
KC Wessels (Aus/SA),1982-1993,21,30,2,1276,179,45.57,3,5,1,1
CJL Rogers (Aus),2008-2015,23,40,1,1764,173,45.23,5,11,1,1
G Gambhir (India),2004-2012,42,75,3,3249,206,45.12,7,18,5,1
RJ Shastri (India),1982-1992,14,22,1,945,206,45,3,3,1,1
CG Greenidge (WI),1974-1991,92,151,15,6116,226,44.97,15,26,8,1
B Sutcliffe (NZ),1949-1958,15,28,1,1214,137*,44.96,3,6,0,1
DJ McGlew (SA),1952-1962,31,57,5,2316,255*,44.53,7,10,4,1
GA Gooch (Eng),1978-1995,95,176,5,7598,333,44.43,18,39,8,1
G Kirsten (SA),1994-2001,51,72,8,2841,275,44.39,7,14,8,1
Mohsin Khan (Pak),1982-1986,26,42,5,1642,200,44.37,6,6,3,1
G Boycott (Eng),1964-1981,67,117,12,4611,142*,43.91,13,27,8,1
GM Turner (NZ),1969-1983,24,40,3,1610,259,43.51,4,7,0,1
MH Richardson (NZ),2000-2004,31,54,2,2261,145,43.48,3,16,1,1
Aamer Sohail (Pak),1992-1998,17,30,1,1244,205,42.89,3,5,2,1
RC Fredericks (WI),1969-1977,57,105,7,4194,169,42.79,8,25,7,1
AN Cook (Eng),2007-2016,42,74,2,3043,263,42.26,8,15,4,1
ME Trescothick (Eng),2002-2006,51,99,7,3861,219,41.96,9,18,11,1
SR Watson (Aus),2009-2013,27,50,2,2006,126,41.79,2,15,3,1
Hanif Mohammad (Pak),1954-1969,32,56,2,2248,337,41.62,6,9,4,1
TWM Latham (NZ),2014-2016,16,22,1,854,137,40.66,3,3,1,1
G Pullar (Eng),1959-1963,20,36,3,1340,175,40.6,2,8,1,1
CC McDonald (Aus),1952-1961,42,73,3,2816,170,40.22,5,15,2,1
HW Taylor (SA),1912-1928,13,23,0,923,109,40.13,2,6,0,1
RB McCosker (Aus),1975-1980,13,21,3,719,127,39.94,2,4,3,1
Mohammad Hafeez (Pak),2006-2015,33,63,5,2313,197,39.87,5,10,3,1
HH Gibbs (SA),2001-2007,19,29,0,1156,196,39.86,3,5,3,1
MH Mankad (India),1947-1956,21,34,1,1315,231,39.84,5,1,4,1
JH Edrich (Eng),1967-1976,19,35,2,1301,164,39.42,2,8,2,1
Majid Khan (Pak),1973-1979,22,41,2,1524,167,39.07,4,4,3,1
Tamim Iqbal (Ban),2008-2015,37,70,1,2696,206,39.07,5,17,5,1
KR Stackpole (Aus),1969-1974,24,45,3,1595,142,37.97,4,9,3,1
MS Atapattu (SL),1997-2007,47,83,7,2869,207*,37.75,9,11,12,1
BM Laird (Aus),1979-1982,11,21,1,755,92,37.75,0,6,0,1
